slate_date,scope,class,keeper_id8,keeper_written_utc,live_id8,live_written_utc,same_picks,keeper_picks,live_picks,adaptive_tracking_rows_by_hash(n/hits),status
2026-05-27,midday,post->pre,48df28ab,2026-05-27 13:32:23,00c133bf,2026-05-27 14:39:21,yes(same hash),"263,761,746,649,568,423","263,761,746,649,568,423",CF661270:6/0 F90D4D4:6/0 29E7F8FF:6/2,planned
2026-06-06,allday,post->pre,1f107deb,2026-06-06 09:18:55,51a77842,2026-06-06 14:09:07,no,"637,923,518,647,653,298","637,923,298,518,647,103",997FAB7B:7/3 F1C13999(keeper):6/0,planned
2026-06-09,evening,post->pre,5eff2f35,2026-06-09 11:45:04,e27a1b31,2026-06-09 22:32:43,no,"923,963,564,104,164,061","923,803,963,123,104,736",none,planned
2026-06-19,allday,post->pre,95fe5975,2026-06-19 10:15:10,6b67dcb7,2026-06-22 02:28:53,no,"298,248,384,923,083,532","014,690,314,248,384,083",993AD2FF:6/0,planned
2026-06-19,evening,post->pre,8fac7a14,2026-06-19 10:15:10,2612e82a,2026-06-22 02:28:53,no,"923,803,564,963,640,123","928,104,164,905,873,403",FF4DBE:6/0,planned
2026-06-19,midday,post->pre,b5a05536,2026-06-19 10:15:10,110e78d1,2026-06-22 02:28:53,yes(same hash),"739,482,370,157,453,731","739,482,370,157,453,731",4085675B:6/0,planned
2026-07-23,allday,post->pre,c3652e27,2026-07-23 08:36:10,1c3cd688,2026-07-23 14:16:50,yes(same hash),"964,146,637,509,764,803","964,146,637,509,764,803",70DA6FF1:6/3,planned
2026-07-23,midday,post->pre,8378a3a3,2026-07-23 08:36:10,6ebacaf4,2026-07-23 14:16:50,yes(same hash),"964,703,471,691,318,457","964,703,471,691,318,457",9D7124B7:6/2,planned
2026-08-27,allday,post->pre,25861362,2026-08-27 10:23:52,7279071a,2026-08-27 21:46:32,no,"125,136,709,594,185,758","071,125,136,594,185,758",85267653(regen):7/4; keeper none,DONE 2026-09-21 (item 1)
2026-08-27,midday,post->pre,f484e796,2026-08-27 10:23:52,4f674b73,2026-08-27 21:46:32,yes(same hash),"316,267,518,135,692,729","316,267,518,135,692,729",61D33375:6/0,DONE 2026-09-21 (item 1)
